review_text,sentiment_label,sentiment_score,identified_theme
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,NEGATIVE,0.9904449582099915,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
love,POSITIVE,0.9998735189437866,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
መቸሸጠ,NEGATIVE,0.6970561146736145,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
wow,POSITIVE,0.999592125415802,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
gadaa,NEGATIVE,0.7211462259292603,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Massive upgrade from the Amole app.,POSITIVE,0.9646421074867249,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
good,POSITIVE,0.9998161196708679,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
very good for this app,POSITIVE,0.9998138546943665,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
top,POSITIVE,0.9997069239616394,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
this app better than Amole . but the biometric on new update doesn't work,NEGATIVE,0.999607503414154,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
Wow,POSITIVE,0.999592125415802,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
good,POSITIVE,0.9998161196708679,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
wow to it saff and this app,POSITIVE,0.9985712766647339,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
it too slow,NEGATIVE,0.9996801614761353,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
ዳሽን ባንክ ይለያል,NEGATIVE,0.8337247967720032,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
real life changer,POSITIVE,0.9997788071632385,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
👍👍👍,NEGATIVE,0.6970561146736145,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
nice application,POSITIVE,0.9998229146003723,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
useless app ever loading take long,NEGATIVE,0.9997350573539734,"User Interface & Experience, Feature Requests, Transaction Performance, Account Access Issues, Customer Support"
